source_file_id,framework,version,variant,task,model,size_mb,params_m,gmacs,cpu_cores,latency_ms
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_400mf,16.67,4.344,0.41,4,73.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_800mf,24.65,6.432,0.84,1,326.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_800mf,24.65,6.432,0.84,2,185.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_800mf,24.65,6.432,0.84,3,148.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,regnet_y_800mf,24.65,6.432,0.84,4,136.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,shufflenet_v2_x1_0,8.754,2.278,0.14,1,72.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,shufflenet_v2_x1_0,8.754,2.278,0.14,2,42.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,shufflenet_v2_x1_0,8.754,2.278,0.14,3,31.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,shufflenet_v2_x1_0,8.754,2.278,0.14,4,29.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_base,337.9,88.56,15.3,1,8040.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_base,337.9,88.56,15.3,2,5605.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_base,337.9,88.56,15.3,3,5338.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_base,337.9,88.56,15.3,4,5316.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_large,754.4,197.7,34.3,1,16956.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_large,754.4,197.7,34.3,2,12324.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_large,754.4,197.7,34.3,3,11756.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_large,754.4,197.7,34.3,4,10843.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_small,191.5,50.2,8.69,1,4415.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_small,191.5,50.2,8.69,2,3121.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_small,191.5,50.2,8.69,3,2998.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_small,191.5,50.2,8.69,4,2513.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_tiny,109.0,28.57,4.46,1,2470.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_tiny,109.0,28.57,4.46,2,1809.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_tiny,109.0,28.57,4.46,3,1723.0
S002,tvm,v0.8.0,baseline,Torchvision ImageNet,convnext_tiny,109.0,28.57,4.46,4,1453.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,alexnet,233.0,61.1,0.71,1,207.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,alexnet,233.0,61.1,0.71,2,138.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,alexnet,233.0,61.1,0.71,3,113.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,alexnet,233.0,61.1,0.71,4,110.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,densenet161,110.2,28.68,7.78,1,2177.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,densenet161,110.2,28.68,7.78,2,1181.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,densenet161,110.2,28.68,7.78,3,876.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,densenet161,110.2,28.68,7.78,4,741.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b0,20.33,5.288,0.4,1,277.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b0,20.33,5.288,0.4,2,153.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b0,20.33,5.288,0.4,3,121.0
